,Category,sub1,sub2,Role,Exp,Range,Display Role
97,Sales & Marketing,Consumer Goods (FMCG),Retail,Sales___Operations_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,22+ years,100 - 150,Sales / Operations in Consumer Goods (FMCG)
98,Sales & Marketing,Consumer Goods (FMCG),Retail,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,3 - 5 years,16 - 24,E-commerce in Consumer Goods (FMCG)
99,Sales & Marketing,Consumer Goods (FMCG),Retail,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,5 - 10 years,30 - 60,E-commerce in Consumer Goods (FMCG)
100,Sales & Marketing,Consumer Goods (FMCG),Retail,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,10 - 15 years,50 - 100,E-commerce in Consumer Goods (FMCG)
101,Sales & Marketing,Consumer Goods (FMCG),Retail,Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,3 - 5 years,18 - 28,Category Management in Consumer Goods (FMCG)
102,Sales & Marketing,Consumer Goods (FMCG),Retail,Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,5 - 10 years,20 - 50,Category Management in Consumer Goods (FMCG)
103,Sales & Marketing,Consumer Goods (FMCG),Retail,Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,10 - 15 years,40 - 80,Category Management in Consumer Goods (FMCG)
104,Sales & Marketing,Consumer Goods (FMCG),Retail,Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,15 - 22 years,70 - 120,Category Management in Consumer Goods (FMCG)
105,Sales & Marketing,Consumer Goods (FMCG),Retail,Digital_Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,3 - 5 years,16 - 24,Digital Marketing in Consumer Goods (FMCG)
106,Sales & Marketing,Consumer Goods (FMCG),Retail,Digital_Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,5 - 10 years,30 - 60,Digital Marketing in Consumer Goods (FMCG)
107,Sales & Marketing,Consumer Goods (FMCG),Retail,Digital_Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,10 - 15 years,50 - 100,Digital Marketing in Consumer Goods (FMCG)
108,Sales & Marketing,Consumer Goods (FMCG),D2C,Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_D2C,3 - 5 years,12 - 30,Sales / Channel Management in Consumer Goods (FMCG)
109,Sales & Marketing,Consumer Goods (FMCG),D2C,Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_D2C,5 - 10 years,25 - 70,Sales / Channel Management in Consumer Goods (FMCG)
110,Sales & Marketing,Consumer Goods (FMCG),D2C,Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_D2C,10 - 15 years,60 - 120,Sales / Channel Management in Consumer Goods (FMCG)
111,Sales & Marketing,Consumer Goods (FMCG),D2C,Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_D2C,15+ years,80 - 180,Sales / Channel Management in Consumer Goods (FMCG)
112,Sales & Marketing,Consumer Goods (FMCG),D2C,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_D2C,3 - 5 years,12 - 30,E-commerce in Consumer Goods (FMCG)
113,Sales & Marketing,Consumer Goods (FMCG),D2C,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_D2C,5 - 10 years,30 - 70,E-commerce in Consumer Goods (FMCG)
114,Sales & Marketing,Consumer Goods (FMCG),D2C,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_D2C,10 - 15 years,60 - 120,E-commerce in Consumer Goods (FMCG)
